dest_ip,metadata_comment
2a10:8008::/32,AS8551 IPv6
62.219.0.0/22,AS8551 IPv4
79.179.159.0/24,AS8551 IPv4
84.111.48.0/20,AS8551 IPv4
79.179.35.0/24,AS8551 IPv4
84.108.60.0/22,AS8551 IPv4
109.67.32.0/20,AS8551 IPv4
192.114.11.0/24,AS8551 IPv4
192.114.144.0/22,AS8551 IPv4
2a02:26f0:8000::/48,AS8551 IPv6
62.219.28.0/24,AS8551 IPv4
82.81.128.0/20,AS8551 IPv4
79.179.65.0/24,AS8551 IPv4
79.177.0.0/19,AS8551 IPv4
84.109.144.0/21,AS8551 IPv4
2a10:8001:e800::/37,AS8551 IPv6
79.178.49.0/24,AS8551 IPv4
192.115.104.0/22,AS8551 IPv4
82.80.16.0/20,AS8551 IPv4
2a10:8003:5000::/37,AS8551 IPv6
212.179.112.0/24,AS8551 IPv4
84.108.217.0/24,AS8551 IPv4
79.179.198.0/24,AS8551 IPv4
84.108.228.0/22,AS8551 IPv4
2a10:8002:1800::/37,AS8551 IPv6
31.168.208.0/20,AS8551 IPv4
79.179.200.0/24,AS8551 IPv4
82.81.228.0/22,AS8551 IPv4
84.111.196.0/22,AS8551 IPv4
2a10:8002:6000::/37,AS8551 IPv6
2a10:8002:8800::/37,AS8551 IPv6
79.178.192.0/20,AS8551 IPv4
84.109.96.0/20,AS8551 IPv4
79.179.44.0/24,AS8551 IPv4
141.226.80.0/23,AS8551 IPv4
79.178.131.0/24,AS8551 IPv4
109.67.196.0/23,AS8551 IPv4
62.219.94.0/24,AS8551 IPv4
2a10:8002:7800::/37,AS8551 IPv6
79.178.199.0/24,AS8551 IPv4
81.218.176.0/20,AS8551 IPv4
2a10:8002:3800::/37,AS8551 IPv6
2a10:8003:4800::/37,AS8551 IPv6
84.109.0.0/22,AS8551 IPv4
2a10:8001:2000::/37,AS8551 IPv6
2a10:8003:6800::/37,AS8551 IPv6
82.80.48.0/20,AS8551 IPv4
2a10:8003:3000::/37,AS8551 IPv6
62.219.11.0/24,AS8551 IPv4
2a10:8002:f000::/37,AS8551 IPv6
79.178.144.0/24,AS8551 IPv4
109.67.64.0/21,AS8551 IPv4
79.178.70.0/24,AS8551 IPv4
31.168.64.0/20,AS8551 IPv4
212.179.64.0/20,AS8551 IPv4
79.181.196.0/23,AS8551 IPv4
79.178.62.0/24,AS8551 IPv4
84.109.48.0/22,AS8551 IPv4
212.25.64.0/19,AS8551 IPv4
79.179.128.0/20,AS8551 IPv4
79.179.174.0/24,AS8551 IPv4
2a10:8002:f800::/37,AS8551 IPv6
192.115.16.0/20,AS8551 IPv4
79.179.26.0/24,AS8551 IPv4
79.179.160.0/24,AS8551 IPv4
84.110.224.0/20,AS8551 IPv4
2a10:8001:1000::/37,AS8551 IPv6
62.219.30.0/24,AS8551 IPv4
79.179.64.0/20,AS8551 IPv4
79.178.69.0/24,AS8551 IPv4
79.177.196.0/23,AS8551 IPv4
79.179.161.0/24,AS8551 IPv4
84.108.24.0/22,AS8551 IPv4
84.108.72.0/22,AS8551 IPv4
84.108.92.0/22,AS8551 IPv4
82.81.192.0/20,AS8551 IPv4
79.177.0.0/18,AS8551 IPv4
79.181.48.0/20,AS8551 IPv4
84.110.108.0/22,AS8551 IPv4
192.114.80.0/22,AS8551 IPv4
79.181.128.0/21,AS8551 IPv4
79.179.171.0/24,AS8551 IPv4
79.179.145.0/24,AS8551 IPv4
79.179.55.0/24,AS8551 IPv4
82.81.208.0/23,AS8551 IPv4
82.80.8.0/24,AS8551 IPv4
2a10:8003::/37,AS8551 IPv6
84.108.176.0/20,AS8551 IPv4
82.81.160.0/20,AS8551 IPv4
79.178.48.0/24,AS8551 IPv4
